PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=371 ttl=64 time=3.70 ms
64 bytes from 10.0.0.2: icmp_seq=372 ttl=64 time=3.02 ms
64 bytes from 10.0.0.2: icmp_seq=373 ttl=64 time=7.54 ms
64 bytes from 10.0.0.2: icmp_seq=374 ttl=64 time=6.78 ms
64 bytes from 10.0.0.2: icmp_seq=375 ttl=64 time=2.96 ms
64 bytes from 10.0.0.2: icmp_seq=376 ttl=64 time=1.33 ms
64 bytes from 10.0.0.2: icmp_seq=377 ttl=64 time=4.44 ms
64 bytes from 10.0.0.2: icmp_seq=378 ttl=64 time=3.18 ms
64 bytes from 10.0.0.2: icmp_seq=379 ttl=64 time=0.405 ms
64 bytes from 10.0.0.2: icmp_seq=380 ttl=64 time=1.47 ms
64 bytes from 10.0.0.2: icmp_seq=381 ttl=64 time=0.498 ms
64 bytes from 10.0.0.2: icmp_seq=382 ttl=64 time=2.36 ms
64 bytes from 10.0.0.2: icmp_seq=383 ttl=64 time=7.58 ms
64 bytes from 10.0.0.2: icmp_seq=384 ttl=64 time=5.11 ms
64 bytes from 10.0.0.2: icmp_seq=385 ttl=64 time=4.81 ms
64 bytes from 10.0.0.2: icmp_seq=386 ttl=64 time=5.32 ms
64 bytes from 10.0.0.2: icmp_seq=387 ttl=64 time=1.39 ms
64 bytes from 10.0.0.2: icmp_seq=388 ttl=64 time=1.87 ms
64 bytes from 10.0.0.2: icmp_seq=389 ttl=64 time=11.6 ms
64 bytes from 10.0.0.2: icmp_seq=390 ttl=64 time=0.653 ms
64 bytes from 10.0.0.2: icmp_seq=391 ttl=64 time=2.50 ms
64 bytes from 10.0.0.2: icmp_seq=392 ttl=64 time=1.71 ms
64 bytes from 10.0.0.2: icmp_seq=393 ttl=64 time=1.03 ms
64 bytes from 10.0.0.2: icmp_seq=394 ttl=64 time=3.23 ms
64 bytes from 10.0.0.2: icmp_seq=395 ttl=64 time=2.21 ms
64 bytes from 10.0.0.2: icmp_seq=396 ttl=64 time=3.61 ms
64 bytes from 10.0.0.2: icmp_seq=397 ttl=64 time=2.17 ms
64 bytes from 10.0.0.2: icmp_seq=398 ttl=64 time=0.647 ms
64 bytes from 10.0.0.2: icmp_seq=399 ttl=64 time=1.06 ms
64 bytes from 10.0.0.2: icmp_seq=400 ttl=64 time=2.79 ms
64 bytes from 10.0.0.2: icmp_seq=401 ttl=64 time=2.73 ms
64 bytes from 10.0.0.2: icmp_seq=402 ttl=64 time=6.81 ms
64 bytes from 10.0.0.2: icmp_seq=403 ttl=64 time=9.13 ms
64 bytes from 10.0.0.2: icmp_seq=404 ttl=64 time=0.445 ms
64 bytes from 10.0.0.2: icmp_seq=405 ttl=64 time=14.0 ms
64 bytes from 10.0.0.2: icmp_seq=406 ttl=64 time=0.669 ms
64 bytes from 10.0.0.2: icmp_seq=407 ttl=64 time=3.81 ms
64 bytes from 10.0.0.2: icmp_seq=408 ttl=64 time=0.837 ms
64 bytes from 10.0.0.2: icmp_seq=409 ttl=64 time=0.438 ms
64 bytes from 10.0.0.2: icmp_seq=410 ttl=64 time=12.8 ms
64 bytes from 10.0.0.2: icmp_seq=411 ttl=64 time=4.68 ms
64 bytes from 10.0.0.2: icmp_seq=412 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_seq=413 ttl=64 time=5.99 ms
64 bytes from 10.0.0.2: icmp_seq=414 ttl=64 time=1.89 ms
64 bytes from 10.0.0.2: icmp_seq=415 ttl=64 time=0.099 ms
64 bytes from 10.0.0.2: icmp_seq=416 ttl=64 time=202 ms
64 bytes from 10.0.0.2: icmp_seq=417 ttl=64 time=243 ms
64 bytes from 10.0.0.2: icmp_seq=418 ttl=64 time=262 ms
64 bytes from 10.0.0.2: icmp_seq=419 ttl=64 time=170 ms
64 bytes from 10.0.0.2: icmp_seq=420 ttl=64 time=408 ms
64 bytes from 10.0.0.2: icmp_seq=421 ttl=64 time=534 ms
64 bytes from 10.0.0.2: icmp_seq=422 ttl=64 time=544 ms
64 bytes from 10.0.0.2: icmp_seq=423 ttl=64 time=780 ms
64 bytes from 10.0.0.2: icmp_seq=424 ttl=64 time=680 ms
64 bytes from 10.0.0.2: icmp_seq=425 ttl=64 time=577 ms
64 bytes from 10.0.0.2: icmp_seq=426 ttl=64 time=587 ms
64 bytes from 10.0.0.2: icmp_seq=427 ttl=64 time=600 ms
64 bytes from 10.0.0.2: icmp_seq=428 ttl=64 time=612 ms
64 bytes from 10.0.0.2: icmp_seq=429 ttl=64 time=619 ms
64 bytes from 10.0.0.2: icmp_seq=430 ttl=64 time=630 ms
64 bytes from 10.0.0.2: icmp_seq=431 ttl=64 time=751 ms
64 bytes from 10.0.0.2: icmp_seq=432 ttl=64 time=650 ms
64 bytes from 10.0.0.2: icmp_seq=433 ttl=64 time=664 ms
64 bytes from 10.0.0.2: icmp_seq=434 ttl=64 time=670 ms
64 bytes from 10.0.0.2: icmp_seq=435 ttl=64 time=569 ms
64 bytes from 10.0.0.2: icmp_seq=436 ttl=64 time=585 ms
64 bytes from 10.0.0.2: icmp_seq=437 ttl=64 time=658 ms
64 bytes from 10.0.0.2: icmp_seq=438 ttl=64 time=596 ms
64 bytes from 10.0.0.2: icmp_seq=439 ttl=64 time=712 ms
64 bytes from 10.0.0.2: icmp_seq=440 ttl=64 time=589 ms
64 bytes from 10.0.0.2: icmp_seq=441 ttl=64 time=646 ms
64 bytes from 10.0.0.2: icmp_seq=442 ttl=64 time=611 ms
64 bytes from 10.0.0.2: icmp_seq=443 ttl=64 time=680 ms
64 bytes from 10.0.0.2: icmp_seq=444 ttl=64 time=627 ms
64 bytes from 10.0.0.2: icmp_seq=445 ttl=64 time=743 ms
64 bytes from 10.0.0.2: icmp_seq=446 ttl=64 time=642 ms
64 bytes from 10.0.0.2: icmp_seq=447 ttl=64 time=629 ms
64 bytes from 10.0.0.2: icmp_seq=448 ttl=64 time=631 ms
64 bytes from 10.0.0.2: icmp_seq=449 ttl=64 time=638 ms
64 bytes from 10.0.0.2: icmp_seq=450 ttl=64 time=644 ms
64 bytes from 10.0.0.2: icmp_seq=451 ttl=64 time=782 ms
64 bytes from 10.0.0.2: icmp_seq=452 ttl=64 time=679 ms
64 bytes from 10.0.0.2: icmp_seq=453 ttl=64 time=727 ms
64 bytes from 10.0.0.2: icmp_seq=454 ttl=64 time=715 ms
64 bytes from 10.0.0.2: icmp_seq=455 ttl=64 time=755 ms
64 bytes from 10.0.0.2: icmp_seq=456 ttl=64 time=737 ms
64 bytes from 10.0.0.2: icmp_seq=457 ttl=64 time=768 ms
64 bytes from 10.0.0.2: icmp_seq=458 ttl=64 time=664 ms
64 bytes from 10.0.0.2: icmp_seq=459 ttl=64 time=883 ms
64 bytes from 10.0.0.2: icmp_seq=460 ttl=64 time=775 ms
64 bytes from 10.0.0.2: icmp_seq=461 ttl=64 time=921 ms
64 bytes from 10.0.0.2: icmp_seq=462 ttl=64 time=889 ms
64 bytes from 10.0.0.2: icmp_seq=463 ttl=64 time=1018 ms
64 bytes from 10.0.0.2: icmp_seq=464 ttl=64 time=971 ms
64 bytes from 10.0.0.2: icmp_seq=465 ttl=64 time=937 ms
64 bytes from 10.0.0.2: icmp_seq=466 ttl=64 time=896 ms
64 bytes from 10.0.0.2: icmp_seq=467 ttl=64 time=771 ms
64 bytes from 10.0.0.2: icmp_seq=468 ttl=64 time=661 ms
64 bytes from 10.0.0.2: icmp_seq=469 ttl=64 time=527 ms
64 bytes from 10.0.0.2: icmp_seq=470 ttl=64 time=427 ms
64 bytes from 10.0.0.2: icmp_seq=471 ttl=64 time=225 ms
64 bytes from 10.0.0.2: icmp_seq=472 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_seq=473 ttl=64 time=22.2 ms
64 bytes from 10.0.0.2: icmp_seq=474 ttl=64 time=251 ms
64 bytes from 10.0.0.2: icmp_seq=475 ttl=64 time=229 ms
64 bytes from 10.0.0.2: icmp_seq=476 ttl=64 time=349 ms
64 bytes from 10.0.0.2: icmp_seq=477 ttl=64 time=475 ms
64 bytes from 10.0.0.2: icmp_seq=478 ttl=64 time=606 ms
64 bytes from 10.0.0.2: icmp_seq=479 ttl=64 time=725 ms
64 bytes from 10.0.0.2: icmp_seq=480 ttl=64 time=734 ms
64 bytes from 10.0.0.2: icmp_seq=481 ttl=64 time=745 ms
64 bytes from 10.0.0.2: icmp_seq=482 ttl=64 time=743 ms
64 bytes from 10.0.0.2: icmp_seq=483 ttl=64 time=820 ms
64 bytes from 10.0.0.2: icmp_seq=484 ttl=64 time=834 ms
64 bytes from 10.0.0.2: icmp_seq=485 ttl=64 time=730 ms
64 bytes from 10.0.0.2: icmp_seq=486 ttl=64 time=625 ms
64 bytes from 10.0.0.2: icmp_seq=487 ttl=64 time=524 ms
64 bytes from 10.0.0.2: icmp_seq=488 ttl=64 time=422 ms
64 bytes from 10.0.0.2: icmp_seq=489 ttl=64 time=322 ms
64 bytes from 10.0.0.2: icmp_seq=490 ttl=64 time=292 ms
64 bytes from 10.0.0.2: icmp_seq=491 ttl=64 time=345 ms
64 bytes from 10.0.0.2: icmp_seq=492 ttl=64 time=239 ms
64 bytes from 10.0.0.2: icmp_seq=493 ttl=64 time=248 ms
64 bytes from 10.0.0.2: icmp_seq=494 ttl=64 time=239 ms
64 bytes from 10.0.0.2: icmp_seq=495 ttl=64 time=245 ms
64 bytes from 10.0.0.2: icmp_seq=496 ttl=64 time=240 ms
64 bytes from 10.0.0.2: icmp_seq=497 ttl=64 time=267 ms
64 bytes from 10.0.0.2: icmp_seq=498 ttl=64 time=258 ms
64 bytes from 10.0.0.2: icmp_seq=499 ttl=64 time=261 ms
64 bytes from 10.0.0.2: icmp_seq=500 ttl=64 time=237 ms
64 bytes from 10.0.0.2: icmp_seq=501 ttl=64 time=230 ms
64 bytes from 10.0.0.2: icmp_seq=502 ttl=64 time=251 ms
64 bytes from 10.0.0.2: icmp_seq=503 ttl=64 time=244 ms
64 bytes from 10.0.0.2: icmp_seq=504 ttl=64 time=266 ms
64 bytes from 10.0.0.2: icmp_seq=505 ttl=64 time=259 ms
64 bytes from 10.0.0.2: icmp_seq=506 ttl=64 time=250 ms
64 bytes from 10.0.0.2: icmp_seq=507 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=508 ttl=64 time=97.8 ms
64 bytes from 10.0.0.2: icmp_seq=509 ttl=64 time=46.8 ms
64 bytes from 10.0.0.2: icmp_seq=510 ttl=64 time=78.5 ms
64 bytes from 10.0.0.2: icmp_seq=511 ttl=64 time=79.9 ms
64 bytes from 10.0.0.2: icmp_seq=512 ttl=64 time=87.4 ms
64 bytes from 10.0.0.2: icmp_seq=513 ttl=64 time=84.6 ms
64 bytes from 10.0.0.2: icmp_seq=514 ttl=64 time=69.5 ms
64 bytes from 10.0.0.2: icmp_seq=515 ttl=64 time=90.1 ms
64 bytes from 10.0.0.2: icmp_seq=516 ttl=64 time=87.6 ms
64 bytes from 10.0.0.2: icmp_seq=517 ttl=64 time=84.4 ms
64 bytes from 10.0.0.2: icmp_seq=518 ttl=64 time=80.2 ms
64 bytes from 10.0.0.2: icmp_seq=519 ttl=64 time=90.8 ms
64 bytes from 10.0.0.2: icmp_seq=520 ttl=64 time=91.9 ms
64 bytes from 10.0.0.2: icmp_seq=521 ttl=64 time=87.7 ms
64 bytes from 10.0.0.2: icmp_seq=522 ttl=64 time=86.5 ms
64 bytes from 10.0.0.2: icmp_seq=523 ttl=64 time=126 ms
64 bytes from 10.0.0.2: icmp_seq=524 ttl=64 time=75.4 ms
64 bytes from 10.0.0.2: icmp_seq=525 ttl=64 time=111 ms
64 bytes from 10.0.0.2: icmp_seq=526 ttl=64 time=71.8 ms
64 bytes from 10.0.0.2: icmp_seq=527 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_seq=528 ttl=64 time=79.6 ms
64 bytes from 10.0.0.2: icmp_seq=529 ttl=64 time=102 ms
64 bytes from 10.0.0.2: icmp_seq=530 ttl=64 time=136 ms
64 bytes from 10.0.0.2: icmp_seq=531 ttl=64 time=78.9 ms
64 bytes from 10.0.0.2: icmp_seq=532 ttl=64 time=41.7 ms
64 bytes from 10.0.0.2: icmp_seq=533 ttl=64 time=134 ms
64 bytes from 10.0.0.2: icmp_seq=534 ttl=64 time=270 ms
64 bytes from 10.0.0.2: icmp_seq=535 ttl=64 time=306 ms
64 bytes from 10.0.0.2: icmp_seq=536 ttl=64 time=284 ms
64 bytes from 10.0.0.2: icmp_seq=537 ttl=64 time=338 ms
64 bytes from 10.0.0.2: icmp_seq=538 ttl=64 time=301 ms
64 bytes from 10.0.0.2: icmp_seq=539 ttl=64 time=312 ms
64 bytes from 10.0.0.2: icmp_seq=540 ttl=64 time=329 ms
64 bytes from 10.0.0.2: icmp_seq=541 ttl=64 time=343 ms
64 bytes from 10.0.0.2: icmp_seq=542 ttl=64 time=327 ms
64 bytes from 10.0.0.2: icmp_seq=543 ttl=64 time=303 ms
64 bytes from 10.0.0.2: icmp_seq=544 ttl=64 time=269 ms
64 bytes from 10.0.0.2: icmp_seq=545 ttl=64 time=235 ms
64 bytes from 10.0.0.2: icmp_seq=546 ttl=64 time=272 ms
64 bytes from 10.0.0.2: icmp_seq=547 ttl=64 time=238 ms
64 bytes from 10.0.0.2: icmp_seq=548 ttl=64 time=217 ms
64 bytes from 10.0.0.2: icmp_seq=549 ttl=64 time=226 ms
64 bytes from 10.0.0.2: icmp_seq=550 ttl=64 time=217 ms
64 bytes from 10.0.0.2: icmp_seq=551 ttl=64 time=226 ms
64 bytes from 10.0.0.2: icmp_seq=552 ttl=64 time=227 ms
64 bytes from 10.0.0.2: icmp_seq=553 ttl=64 time=227 ms
64 bytes from 10.0.0.2: icmp_seq=554 ttl=64 time=224 ms
64 bytes from 10.0.0.2: icmp_seq=555 ttl=64 time=218 ms
64 bytes from 10.0.0.2: icmp_seq=556 ttl=64 time=213 ms
64 bytes from 10.0.0.2: icmp_seq=557 ttl=64 time=227 ms
64 bytes from 10.0.0.2: icmp_seq=558 ttl=64 time=158 ms
64 bytes from 10.0.0.2: icmp_seq=559 ttl=64 time=73.6 ms
64 bytes from 10.0.0.2: icmp_seq=560 ttl=64 time=55.2 ms
64 bytes from 10.0.0.2: icmp_seq=561 ttl=64 time=65.3 ms
64 bytes from 10.0.0.2: icmp_seq=562 ttl=64 time=68.6 ms
64 bytes from 10.0.0.2: icmp_seq=563 ttl=64 time=80.0 ms
64 bytes from 10.0.0.2: icmp_seq=564 ttl=64 time=93.1 ms
64 bytes from 10.0.0.2: icmp_seq=565 ttl=64 time=92.7 ms
64 bytes from 10.0.0.2: icmp_seq=566 ttl=64 time=80.6 ms
64 bytes from 10.0.0.2: icmp_seq=567 ttl=64 time=91.6 ms
64 bytes from 10.0.0.2: icmp_seq=568 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_seq=569 ttl=64 time=77.9 ms
64 bytes from 10.0.0.2: icmp_seq=570 ttl=64 time=84.2 ms
64 bytes from 10.0.0.2: icmp_seq=571 ttl=64 time=77.7 ms
64 bytes from 10.0.0.2: icmp_seq=572 ttl=64 time=74.5 ms
64 bytes from 10.0.0.2: icmp_seq=573 ttl=64 time=85.3 ms
64 bytes from 10.0.0.2: icmp_seq=574 ttl=64 time=81.9 ms
64 bytes from 10.0.0.2: icmp_seq=575 ttl=64 time=93.5 ms
64 bytes from 10.0.0.2: icmp_seq=576 ttl=64 time=97.9 ms
64 bytes from 10.0.0.2: icmp_seq=577 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_seq=578 ttl=64 time=99.5 ms
64 bytes from 10.0.0.2: icmp_seq=579 ttl=64 time=80.9 ms
64 bytes from 10.0.0.2: icmp_seq=580 ttl=64 time=110 ms
64 bytes from 10.0.0.2: icmp_seq=581 ttl=64 time=87.3 ms
64 bytes from 10.0.0.2: icmp_seq=582 ttl=64 time=83.3 ms
64 bytes from 10.0.0.2: icmp_seq=583 ttl=64 time=96.2 ms
64 bytes from 10.0.0.2: icmp_seq=584 ttl=64 time=86.1 ms
64 bytes from 10.0.0.2: icmp_seq=585 ttl=64 time=81.2 ms
64 bytes from 10.0.0.2: icmp_seq=586 ttl=64 time=77.8 ms
64 bytes from 10.0.0.2: icmp_seq=587 ttl=64 time=79.4 ms
64 bytes from 10.0.0.2: icmp_seq=588 ttl=64 time=93.8 ms
64 bytes from 10.0.0.2: icmp_seq=589 ttl=64 time=90.2 ms
64 bytes from 10.0.0.2: icmp_seq=590 ttl=64 time=0.481 ms
64 bytes from 10.0.0.2: icmp_seq=591 ttl=64 time=179 ms
64 bytes from 10.0.0.2: icmp_seq=592 ttl=64 time=229 ms
64 bytes from 10.0.0.2: icmp_seq=593 ttl=64 time=236 ms
64 bytes from 10.0.0.2: icmp_seq=594 ttl=64 time=204 ms
64 bytes from 10.0.0.2: icmp_seq=595 ttl=64 time=494 ms
64 bytes from 10.0.0.2: icmp_seq=596 ttl=64 time=504 ms
64 bytes from 10.0.0.2: icmp_seq=597 ttl=64 time=857 ms
64 bytes from 10.0.0.2: icmp_seq=598 ttl=64 time=977 ms
64 bytes from 10.0.0.2: icmp_seq=599 ttl=64 time=873 ms
64 bytes from 10.0.0.2: icmp_seq=600 ttl=64 time=782 ms
64 bytes from 10.0.0.2: icmp_seq=601 ttl=64 time=679 ms
64 bytes from 10.0.0.2: icmp_seq=602 ttl=64 time=577 ms
64 bytes from 10.0.0.2: icmp_seq=603 ttl=64 time=473 ms
64 bytes from 10.0.0.2: icmp_seq=604 ttl=64 time=367 ms
64 bytes from 10.0.0.2: icmp_seq=605 ttl=64 time=375 ms
64 bytes from 10.0.0.2: icmp_seq=606 ttl=64 time=401 ms
64 bytes from 10.0.0.2: icmp_seq=607 ttl=64 time=413 ms
64 bytes from 10.0.0.2: icmp_seq=608 ttl=64 time=388 ms
64 bytes from 10.0.0.2: icmp_seq=609 ttl=64 time=383 ms
64 bytes from 10.0.0.2: icmp_seq=610 ttl=64 time=396 ms
64 bytes from 10.0.0.2: icmp_seq=611 ttl=64 time=361 ms
64 bytes from 10.0.0.2: icmp_seq=612 ttl=64 time=435 ms
64 bytes from 10.0.0.2: icmp_seq=613 ttl=64 time=464 ms
64 bytes from 10.0.0.2: icmp_seq=614 ttl=64 time=426 ms
64 bytes from 10.0.0.2: icmp_seq=615 ttl=64 time=350 ms
64 bytes from 10.0.0.2: icmp_seq=616 ttl=64 time=370 ms
64 bytes from 10.0.0.2: icmp_seq=617 ttl=64 time=371 ms
64 bytes from 10.0.0.2: icmp_seq=618 ttl=64 time=393 ms
64 bytes from 10.0.0.2: icmp_seq=619 ttl=64 time=401 ms
64 bytes from 10.0.0.2: icmp_seq=620 ttl=64 time=365 ms
64 bytes from 10.0.0.2: icmp_seq=621 ttl=64 time=363 ms
64 bytes from 10.0.0.2: icmp_seq=622 ttl=64 time=341 ms
64 bytes from 10.0.0.2: icmp_seq=623 ttl=64 time=355 ms
64 bytes from 10.0.0.2: icmp_seq=624 ttl=64 time=358 ms
64 bytes from 10.0.0.2: icmp_seq=625 ttl=64 time=376 ms
64 bytes from 10.0.0.2: icmp_seq=626 ttl=64 time=350 ms
64 bytes from 10.0.0.2: icmp_seq=627 ttl=64 time=362 ms
64 bytes from 10.0.0.2: icmp_seq=628 ttl=64 time=337 ms
64 bytes from 10.0.0.2: icmp_seq=629 ttl=64 time=273 ms
64 bytes from 10.0.0.2: icmp_seq=630 ttl=64 time=171 ms
64 bytes from 10.0.0.2: icmp_seq=631 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=632 ttl=64 time=56.5 ms
64 bytes from 10.0.0.2: icmp_seq=633 ttl=64 time=71.4 ms
64 bytes from 10.0.0.2: icmp_seq=634 ttl=64 time=63.7 ms
64 bytes from 10.0.0.2: icmp_seq=635 ttl=64 time=61.7 ms
64 bytes from 10.0.0.2: icmp_seq=636 ttl=64 time=79.5 ms
64 bytes from 10.0.0.2: icmp_seq=637 ttl=64 time=182 ms
64 bytes from 10.0.0.2: icmp_seq=638 ttl=64 time=97.4 ms
64 bytes from 10.0.0.2: icmp_seq=639 ttl=64 time=98.1 ms
64 bytes from 10.0.0.2: icmp_seq=640 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_seq=641 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_seq=642 ttl=64 time=94.1 ms
64 bytes from 10.0.0.2: icmp_seq=643 ttl=64 time=97.7 ms
64 bytes from 10.0.0.2: icmp_seq=644 ttl=64 time=111 ms
64 bytes from 10.0.0.2: icmp_seq=645 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_seq=646 ttl=64 time=100.0 ms
64 bytes from 10.0.0.2: icmp_seq=647 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_seq=648 ttl=64 time=3.85 ms
64 bytes from 10.0.0.2: icmp_seq=649 ttl=64 time=260 ms
64 bytes from 10.0.0.2: icmp_seq=650 ttl=64 time=261 ms
64 bytes from 10.0.0.2: icmp_seq=651 ttl=64 time=370 ms
64 bytes from 10.0.0.2: icmp_seq=652 ttl=64 time=494 ms
64 bytes from 10.0.0.2: icmp_seq=653 ttl=64 time=572 ms
64 bytes from 10.0.0.2: icmp_seq=654 ttl=64 time=749 ms
64 bytes from 10.0.0.2: icmp_seq=655 ttl=64 time=912 ms
64 bytes from 10.0.0.2: icmp_seq=656 ttl=64 time=1039 ms
64 bytes from 10.0.0.2: icmp_seq=657 ttl=64 time=1162 ms
64 bytes from 10.0.0.2: icmp_seq=658 ttl=64 time=1180 ms
64 bytes from 10.0.0.2: icmp_seq=659 ttl=64 time=1175 ms
64 bytes from 10.0.0.2: icmp_seq=660 ttl=64 time=1073 ms
64 bytes from 10.0.0.2: icmp_seq=661 ttl=64 time=969 ms
64 bytes from 10.0.0.2: icmp_seq=662 ttl=64 time=868 ms
64 bytes from 10.0.0.2: icmp_seq=663 ttl=64 time=767 ms
64 bytes from 10.0.0.2: icmp_seq=664 ttl=64 time=666 ms
64 bytes from 10.0.0.2: icmp_seq=665 ttl=64 time=562 ms
64 bytes from 10.0.0.2: icmp_seq=666 ttl=64 time=459 ms
64 bytes from 10.0.0.2: icmp_seq=667 ttl=64 time=505 ms
64 bytes from 10.0.0.2: icmp_seq=668 ttl=64 time=401 ms
64 bytes from 10.0.0.2: icmp_seq=669 ttl=64 time=428 ms
64 bytes from 10.0.0.2: icmp_seq=670 ttl=64 time=422 ms
64 bytes from 10.0.0.2: icmp_seq=671 ttl=64 time=411 ms
64 bytes from 10.0.0.2: icmp_seq=672 ttl=64 time=416 ms
64 bytes from 10.0.0.2: icmp_seq=673 ttl=64 time=378 ms
64 bytes from 10.0.0.2: icmp_seq=674 ttl=64 time=340 ms
64 bytes from 10.0.0.2: icmp_seq=675 ttl=64 time=338 ms
64 bytes from 10.0.0.2: icmp_seq=676 ttl=64 time=366 ms
64 bytes from 10.0.0.2: icmp_seq=677 ttl=64 time=394 ms
64 bytes from 10.0.0.2: icmp_seq=678 ttl=64 time=389 ms
64 bytes from 10.0.0.2: icmp_seq=679 ttl=64 time=392 ms
64 bytes from 10.0.0.2: icmp_seq=680 ttl=64 time=382 ms
64 bytes from 10.0.0.2: icmp_seq=681 ttl=64 time=402 ms
64 bytes from 10.0.0.2: icmp_seq=682 ttl=64 time=401 ms
64 bytes from 10.0.0.2: icmp_seq=683 ttl=64 time=393 ms
64 bytes from 10.0.0.2: icmp_seq=684 ttl=64 time=373 ms
64 bytes from 10.0.0.2: icmp_seq=685 ttl=64 time=400 ms
64 bytes from 10.0.0.2: icmp_seq=686 ttl=64 time=397 ms
64 bytes from 10.0.0.2: icmp_seq=687 ttl=64 time=391 ms
64 bytes from 10.0.0.2: icmp_seq=688 ttl=64 time=404 ms
64 bytes from 10.0.0.2: icmp_seq=689 ttl=64 time=401 ms
64 bytes from 10.0.0.2: icmp_seq=690 ttl=64 time=396 ms
64 bytes from 10.0.0.2: icmp_seq=691 ttl=64 time=393 ms
64 bytes from 10.0.0.2: icmp_seq=692 ttl=64 time=317 ms
64 bytes from 10.0.0.2: icmp_seq=693 ttl=64 time=209 ms
64 bytes from 10.0.0.2: icmp_seq=694 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_seq=695 ttl=64 time=75.4 ms
64 bytes from 10.0.0.2: icmp_seq=696 ttl=64 time=68.9 ms
64 bytes from 10.0.0.2: icmp_seq=697 ttl=64 time=74.1 ms
64 bytes from 10.0.0.2: icmp_seq=698 ttl=64 time=70.2 ms
64 bytes from 10.0.0.2: icmp_seq=699 ttl=64 time=75.5 ms
64 bytes from 10.0.0.2: icmp_seq=700 ttl=64 time=87.6 ms
64 bytes from 10.0.0.2: icmp_seq=701 ttl=64 time=84.0 ms
64 bytes from 10.0.0.2: icmp_seq=702 ttl=64 time=80.3 ms
64 bytes from 10.0.0.2: icmp_seq=703 ttl=64 time=93.5 ms
64 bytes from 10.0.0.2: icmp_seq=704 ttl=64 time=90.8 ms
64 bytes from 10.0.0.2: icmp_seq=705 ttl=64 time=70.0 ms
64 bytes from 10.0.0.2: icmp_seq=706 ttl=64 time=3.31 ms
64 bytes from 10.0.0.2: icmp_seq=707 ttl=64 time=205 ms
64 bytes from 10.0.0.2: icmp_seq=708 ttl=64 time=324 ms
64 bytes from 10.0.0.2: icmp_seq=709 ttl=64 time=559 ms
64 bytes from 10.0.0.2: icmp_seq=710 ttl=64 time=686 ms
64 bytes from 10.0.0.2: icmp_seq=711 ttl=64 time=583 ms
64 bytes from 10.0.0.2: icmp_seq=712 ttl=64 time=590 ms
64 bytes from 10.0.0.2: icmp_seq=713 ttl=64 time=601 ms
64 bytes from 10.0.0.2: icmp_seq=714 ttl=64 time=606 ms
64 bytes from 10.0.0.2: icmp_seq=715 ttl=64 time=619 ms
64 bytes from 10.0.0.2: icmp_seq=716 ttl=64 time=631 ms
64 bytes from 10.0.0.2: icmp_seq=717 ttl=64 time=641 ms
64 bytes from 10.0.0.2: icmp_seq=718 ttl=64 time=540 ms
64 bytes from 10.0.0.2: icmp_seq=719 ttl=64 time=431 ms
64 bytes from 10.0.0.2: icmp_seq=720 ttl=64 time=330 ms
64 bytes from 10.0.0.2: icmp_seq=721 ttl=64 time=279 ms
64 bytes from 10.0.0.2: icmp_seq=722 ttl=64 time=249 ms
64 bytes from 10.0.0.2: icmp_seq=723 ttl=64 time=208 ms
64 bytes from 10.0.0.2: icmp_seq=724 ttl=64 time=222 ms
64 bytes from 10.0.0.2: icmp_seq=725 ttl=64 time=217 ms
64 bytes from 10.0.0.2: icmp_seq=726 ttl=64 time=214 ms
64 bytes from 10.0.0.2: icmp_seq=727 ttl=64 time=208 ms
64 bytes from 10.0.0.2: icmp_seq=728 ttl=64 time=220 ms
64 bytes from 10.0.0.2: icmp_seq=729 ttl=64 time=216 ms
64 bytes from 10.0.0.2: icmp_seq=730 ttl=64 time=213 ms
64 bytes from 10.0.0.2: icmp_seq=731 ttl=64 time=225 ms
64 bytes from 10.0.0.2: icmp_seq=732 ttl=64 time=221 ms
64 bytes from 10.0.0.2: icmp_seq=733 ttl=64 time=218 ms
64 bytes from 10.0.0.2: icmp_seq=734 ttl=64 time=214 ms
64 bytes from 10.0.0.2: icmp_seq=735 ttl=64 time=214 ms
64 bytes from 10.0.0.2: icmp_seq=736 ttl=64 time=159 ms
64 bytes from 10.0.0.2: icmp_seq=737 ttl=64 time=99.0 ms
64 bytes from 10.0.0.2: icmp_seq=738 ttl=64 time=47.0 ms
64 bytes from 10.0.0.2: icmp_seq=739 ttl=64 time=60.2 ms
64 bytes from 10.0.0.2: icmp_seq=740 ttl=64 time=64.6 ms
