PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=627 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=587 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=484 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=632 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=532 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=544 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=443 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=479 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=478 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=478 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=494 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=513 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=492 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=505 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=460 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=477 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=429 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=505 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=519 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=484 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=497 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=486 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=485 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=481 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=494 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=498 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=506 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=500 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=493 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=497 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=502 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=509 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=503 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=459 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=354 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=250 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=158 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=135 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=99.3 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=0.432 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=172 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=235 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=229 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=367 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=607 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=733 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=857 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=984 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=1105 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=1003 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=897 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=793 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=687 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=587 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=480 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=391 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=372 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=384 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=426 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=408 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=396 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=374 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=388 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=381 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=389 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=366 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=377 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=377 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=408 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=366 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=377 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=366 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=379 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=366 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=379 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=368 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=372 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=368 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=405 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=371 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=374 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=274 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=171 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=112 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=60.0 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=65.5 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=74.6 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=78.9 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=83.2 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=89.2 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=86.0 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=83.2 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=80.4 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=85.4 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=81.6 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=76.6 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=75.3 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=0.151 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=200 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=319 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=440 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=560 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=570 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=696 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=819 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=832 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=952 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=1064 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=963 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=862 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=763 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=656 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=550 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=448 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=386 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=346 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=735 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=632 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=755 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=739 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=1008 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=904 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=1079 ms
64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=971 ms
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=967 ms
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=859 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=868 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=942 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=895 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=791 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=1054 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=944 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=840 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=956 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=836 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=854 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=899 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=953 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=915 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=809 ms
64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=1072 ms
64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=968 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=868 ms
64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=1003 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=902 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=892 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=788 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=687 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=578 ms
64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=476 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=369 ms
64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=269 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=166 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=65.7 ms
64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=122 ms
64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=259 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=387 ms
64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=493 ms
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=541 ms
64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=471 ms
64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=511 ms
64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=500 ms
64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=424 ms
64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=319 ms
64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=392 ms
64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=401 ms
64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=395 ms
64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=391 ms
64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=309 ms
64 bytes from 10.0.0.2: icmp_seq=256 ttl=64 time=250 ms
64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=232 ms
64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=204 ms
64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=208 ms
64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=191 ms
64 bytes from 10.0.0.2: icmp_seq=261 ttl=64 time=199 ms
64 bytes from 10.0.0.2: icmp_seq=262 ttl=64 time=207 ms
64 bytes from 10.0.0.2: icmp_seq=263 ttl=64 time=199 ms
64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=177 ms
64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=183 ms
64 bytes from 10.0.0.2: icmp_seq=266 ttl=64 time=178 ms
64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=191 ms
64 bytes from 10.0.0.2: icmp_seq=268 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_seq=269 ttl=64 time=67.0 ms
64 bytes from 10.0.0.2: icmp_seq=270 ttl=64 time=34.5 ms
64 bytes from 10.0.0.2: icmp_seq=271 ttl=64 time=62.9 ms
64 bytes from 10.0.0.2: icmp_seq=272 ttl=64 time=63.4 ms
64 bytes from 10.0.0.2: icmp_seq=273 ttl=64 time=84.8 ms
64 bytes from 10.0.0.2: icmp_seq=274 ttl=64 time=87.0 ms
64 bytes from 10.0.0.2: icmp_seq=275 ttl=64 time=82.4 ms
64 bytes from 10.0.0.2: icmp_seq=276 ttl=64 time=93.8 ms
64 bytes from 10.0.0.2: icmp_seq=277 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_seq=278 ttl=64 time=103 ms
64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=86.8 ms
64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=99.4 ms
64 bytes from 10.0.0.2: icmp_seq=281 ttl=64 time=95.9 ms
64 bytes from 10.0.0.2: icmp_seq=282 ttl=64 time=93.3 ms
64 bytes from 10.0.0.2: icmp_seq=283 ttl=64 time=89.4 ms
64 bytes from 10.0.0.2: icmp_seq=284 ttl=64 time=86.7 ms
64 bytes from 10.0.0.2: icmp_seq=285 ttl=64 time=82.6 ms
64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=98.0 ms
64 bytes from 10.0.0.2: icmp_seq=287 ttl=64 time=94.0 ms
64 bytes from 10.0.0.2: icmp_seq=288 ttl=64 time=91.2 ms
64 bytes from 10.0.0.2: icmp_seq=289 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_seq=290 ttl=64 time=85.1 ms
64 bytes from 10.0.0.2: icmp_seq=291 ttl=64 time=98.6 ms
64 bytes from 10.0.0.2: icmp_seq=292 ttl=64 time=75.8 ms
64 bytes from 10.0.0.2: icmp_seq=293 ttl=64 time=85.3 ms
64 bytes from 10.0.0.2: icmp_seq=294 ttl=64 time=97.5 ms
64 bytes from 10.0.0.2: icmp_seq=295 ttl=64 time=95.0 ms
